Year,State,District,Quarter,House_Type,Interest_Rate,Inflation_Rate,GDP,Unemployment_Rate,Population,House_Overhang,House_Price,House_Supply
2015,Johor,Segamat,2,Terraced House,3.23,2.8,288975,3.1,275.9,0,174000,17154
2015,Johor,Segamat,2,Town House,3.23,2.8,288975,3.1,275.9,0,,0
2015,Johor,Segamat,3,Cluster House,3.21,3.83,297965,3.1,275.9,0,443400,40
2015,Johor,Segamat,3,Condominium,3.21,3.83,297965,3.1,275.9,0,,0
2015,Johor,Segamat,3,Detached House,3.21,3.83,297965,3.1,275.9,0,217500,8020
2015,Johor,Segamat,3,Flat,3.21,3.83,297965,3.1,275.9,0,,30
2015,Johor,Segamat,3,Semi-Detached House,3.21,3.83,297965,3.1,275.9,0,312500,3058
2015,Johor,Segamat,3,Terraced House,3.21,3.83,297965,3.1,275.9,0,199900,17154
2015,Johor,Segamat,3,Town House,3.21,3.83,297965,3.1,275.9,0,,0
2015,Johor,Segamat,4,Cluster House,3.16,3.6,307745,3.1,275.9,0,430000,40
2015,Johor,Segamat,4,Condominium,3.16,3.6,307745,3.1,275.9,0,,0
2015,Johor,Segamat,4,Detached House,3.16,3.6,307745,3.1,275.9,0,141000,8024
2015,Johor,Segamat,4,Flat,3.16,3.6,307745,3.1,275.9,0,,30
2015,Johor,Segamat,4,Semi-Detached House,3.16,3.6,307745,3.1,275.9,0,340000,3124
2015,Johor,Segamat,4,Terraced House,3.16,3.6,307745,3.1,275.9,0,181000,17275
2015,Johor,Segamat,4,Town House,3.16,3.6,307745,3.1,275.9,0,,0
2015,Kuala Lumpur,Ampang,1,Cluster House,3.24,1.3,282255,3.3,1828.8,0,,0
2015,Kuala Lumpur,Ampang,1,Condominium,3.24,1.3,282255,3.3,1828.8,0,540000,1040
2015,Kuala Lumpur,Ampang,1,Detached House,3.24,1.3,282255,3.3,1828.8,0,1936000,186
2015,Kuala Lumpur,Ampang,1,Flat,3.24,1.3,282255,3.3,1828.8,0,285000,1170
2015,Kuala Lumpur,Ampang,1,Semi-Detached House,3.24,1.3,282255,3.3,1828.8,0,1640000,174
2015,Kuala Lumpur,Ampang,1,Terraced House,3.24,1.3,282255,3.3,1828.8,0,680000,1539
2015,Kuala Lumpur,Ampang,1,Town House,3.24,1.3,282255,3.3,1828.8,0,,0
2015,Kuala Lumpur,Ampang,2,Cluster House,3.23,2.86,288975,3.3,1828.8,0,,0
2015,Kuala Lumpur,Ampang,2,Condominium,3.23,2.86,288975,3.3,1828.8,0,750000,2890
2015,Kuala Lumpur,Ampang,2,Detached House,3.23,2.86,288975,3.3,1828.8,0,1214000,186
2015,Kuala Lumpur,Ampang,2,Flat,3.23,2.86,288975,3.3,1828.8,0,292500,1170
2015,Kuala Lumpur,Ampang,2,Semi-Detached House,3.23,2.86,288975,3.3,1828.8,0,1310000,174
2015,Kuala Lumpur,Ampang,2,Terraced House,3.23,2.86,288975,3.3,1828.8,0,652000,1539
2015,Kuala Lumpur,Ampang,2,Town House,3.23,2.86,288975,3.3,1828.8,0,1000000,0
2015,Kuala Lumpur,Ampang,3,Cluster House,3.21,3.56,297965,3.3,1828.8,0,,0
2015,Kuala Lumpur,Ampang,3,Condominium,3.21,3.56,297965,3.3,1828.8,0,475000,2890
2015,Kuala Lumpur,Ampang,3,Detached House,3.21,3.56,297965,3.3,1828.8,0,6500000,186
2015,Kuala Lumpur,Ampang,3,Flat,3.21,3.56,297965,3.3,1828.8,0,375000,1170
2015,Kuala Lumpur,Ampang,3,Semi-Detached House,3.21,3.56,297965,3.3,1828.8,0,,174
2015,Kuala Lumpur,Ampang,3,Terraced House,3.21,3.56,297965,3.3,1828.8,0,700000,1539
2015,Kuala Lumpur,Ampang,3,Town House,3.21,3.56,297965,3.3,1828.8,0,1000000,0
2015,Kuala Lumpur,Ampang,4,Cluster House,3.16,3.33,307745,3.3,1828.8,0,,0
2015,Kuala Lumpur,Ampang,4,Condominium,3.16,3.33,307745,3.3,1828.8,0,621000,2890
2015,Kuala Lumpur,Ampang,4,Detached House,3.16,3.33,307745,3.3,1828.8,0,3713000,186
2015,Kuala Lumpur,Ampang,4,Flat,3.16,3.33,307745,3.3,1828.8,0,285000,1170
2015,Kuala Lumpur,Ampang,4,Semi-Detached House,3.16,3.33,307745,3.3,1828.8,0,,174
2015,Kuala Lumpur,Ampang,4,Terraced House,3.16,3.33,307745,3.3,1828.8,0,595000,1539
2015,Kuala Lumpur,Ampang,4,Town House,3.16,3.33,307745,3.3,1828.8,0,900000,0
2015,Kuala Lumpur,Batu,1,Cluster House,3.24,1.3,282255,3.3,1828.8,0,190000,934
2015,Kuala Lumpur,Batu,1,Condominium,3.24,1.3,282255,3.3,1828.8,63,635000,2171
